PlacesCount,TransitionsCount,ArcsCount,VarsCount,ConditionsCount,Boundedness,ConstraintStates,ConstraintArcs,DeadTransitions,Deadlocks,Soundness,Milliseconds
6,5,12,3,5,False,7,6,2,False,False,33
6,5,13,3,5,False,7,6,1,False,False,133
6,5,12,3,5,False,6,5,2,False,False,40
12,10,26,5,10,False,12,11,4,False,False,64
12,10,27,5,10,False,25,24,0,False,True,130
12,10,27,5,10,False,48,47,2,False,False,224
18,15,40,7,15,False,216,220,2,False,False,2948
18,15,41,7,15,False,44,43,5,False,False,128
18,15,40,7,15,False,79,80,5,False,False,528
24,20,56,10,20,False,310,312,2,False,False,10135
24,20,55,10,20,False,114,113,9,False,False,1197
24,20,55,10,20,False,91,90,6,False,False,1406
30,25,70,12,25,False,248,248,6,False,False,6111
30,25,70,12,25,False,178,177,3,False,False,2483
30,25,68,12,25,False,843,1747,1,False,False,20483
36,30,84,15,30,False,939,2307,10,False,False,15106
36,30,84,15,30,False,222,224,14,False,False,4812
36,30,84,15,30,False,224,223,3,False,False,4188
42,35,99,17,35,False,217,216,13,False,False,14690
42,35,99,17,35,False,346,347,13,False,False,61375
42,35,98,17,35,False,623,661,6,False,False,29899
48,40,114,20,40,False,416,416,18,False,False,8636
48,40,114,20,40,False,549,559,13,False,False,27533
48,40,113,20,40,False,149,148,18,False,False,1967
54,45,128,22,45,False,230,229,18,False,False,2286
54,45,128,22,45,False,207,208,15,False,False,21059
54,45,127,22,45,False,1067,1113,17,False,False,7559
60,50,143,25,50,False,644,648,10,False,False,70889
60,50,142,25,50,False,284,284,24,False,False,25563
60,50,143,25,50,False,222,227,20,False,False,1716
66,55,157,27,55,False,318,318,19,False,False,12258
66,55,157,27,55,False,440,441,20,False,False,24295
66,55,157,27,55,False,474,473,22,False,False,46470
72,60,171,30,60,False,279,278,27,False,False,8530
72,60,172,30,60,False,221,220,27,False,False,4138
72,60,172,30,60,False,733,737,28,False,False,145657
78,65,186,32,65,False,898,1001,32,False,False,10944
78,65,186,32,65,False,1146,1247,21,False,False,48427
78,65,186,32,65,False,620,620,31,False,False,8566
84,70,200,35,70,False,392,392,31,False,False,10780
84,70,200,35,70,False,869,879,33,False,False,42100
84,70,201,35,70,False,528,528,29,False,False,21651
84,70,200,35,70,False,712,713,33,False,False,82063
90,75,214,37,75,False,635,635,35,False,False,5914
90,75,214,37,75,False,1075,1074,37,False,False,37322
90,75,214,37,75,False,743,745,30,False,False,36958
96,80,230,40,80,False,1357,1356,36,False,False,25500
96,80,229,40,80,False,1230,1231,30,False,False,24576
96,80,229,40,80,False,917,917,31,False,False,155510
102,85,245,43,85,False,2046,2050,46,False,False,154436
102,85,244,43,85,False,487,488,44,False,False,28473
102,85,243,43,85,False,347,346,43,False,False,3336
102,85,245,43,85,False,385,384,35,False,False,30742
108,90,259,45,90,False,3586,8711,36,False,False,419449
108,90,258,45,90,False,561,562,50,False,False,151486
108,90,258,45,90,False,1098,1104,51,False,False,84486
114,95,273,47,95,False,1155,1159,49,False,False,78289
114,95,272,47,95,False,1858,1860,48,False,False,25686
114,95,272,47,95,False,1917,1919,50,False,False,170882
120,100,287,50,100,False,1310,1309,53,False,False,325837
120,100,288,50,100,False,1024,1029,51,False,False,59415
120,100,288,50,100,False,1849,1849,57,False,False,254647
126,105,302,52,105,False,607,606,60,False,False,20646
126,105,302,52,105,False,1612,1616,41,False,False,99380
126,105,302,52,105,False,480,479,58,False,False,6608
132,110,317,55,110,False,1073,1081,57,False,False,99134
132,110,315,55,110,False,2453,2478,65,False,False,267205
132,110,317,55,110,False,1223,1222,60,False,False,40078
138,115,331,57,115,False,2561,3698,50,False,False,446321
138,115,330,57,115,False,1692,1696,59,False,False,370028
138,115,331,57,115,False,1601,1603,68,False,False,83612
